Date,Open,High,Low,Close,Adj Close,Volume
2012-10-03,1922.380005,1922.380005,1901.479980,1911.920044,1603.006714,149755
2012-10-04,1900.180054,1922.380005,1898.869995,1902.790039,1595.351807,36253
2012-10-05,1911.920044,1921.069946,1905.400024,1914.530029,1605.195068,43693
2012-10-08,1910.619995,1919.770020,1904.089966,1911.920044,1603.006714,29895
2012-10-09,1909.310059,1914.530029,1889.319946,1911.920044,1603.006714,43412
2012-10-10,1908.010010,1914.530029,1877.589966,1884.500000,1580.017090,30223
2012-10-11,1902.790039,1910.619995,1888.420044,1908.010010,1599.728638,21586
2012-10-12,1898.869995,1914.530029,1898.869995,1911.920044,1603.006714,40737
2012-10-15,1893.640015,1917.160034,1891.579956,1906.699951,1598.630249,29051
2012-10-16,1900.180054,1922.380005,1885.810059,1922.380005,1611.776611,137755
2012-10-17,1922.380005,1923.680054,1891.030029,1923.680054,1612.866821,56527
2012-10-18,1922.380005,1953.719971,1906.699951,1948.489990,1633.668091,224901
2012-10-19,1941.969971,1947.189941,1913.229980,1919.770020,1609.588379,29326
2012-10-22,1919.770020,1932.819946,1913.229980,1923.680054,1612.866821,240955
2012-10-23,1915.839966,1941.969971,1915.839966,1941.969971,1628.201416,104849
2012-10-24,1941.969971,1972.000000,1939.359985,1958.939941,1642.429565,99305
2012-10-25,1951.099976,1972.000000,1951.099976,1962.859985,1645.716187,93467
2012-10-26,1962.859985,1988.979980,1960.239990,1969.390015,1651.191162,57416
2012-10-29,1962.859985,1969.390015,1956.329956,1965.469971,1647.904419,117093
2012-10-30,1964.170044,1965.390015,1957.709961,1961.560059,1644.626343,73439
2012-10-31,1961.560059,1972.000000,1951.099976,1966.780029,1649.002808,72141
2012-11-01,1962.859985,1979.829956,1957.630005,1965.469971,1647.904419,203001
2012-11-02,1964.170044,1972.000000,1956.329956,1964.170044,1646.814575,107764
2012-11-05,1885.810059,1969.680054,1885.810059,1962.859985,1645.716187,504988
2012-11-06,1961.560059,1965.479980,1949.800049,1961.560059,1644.626343,68696
2012-11-07,1884.500000,2005.959961,1875.359985,1958.939941,1642.429565,731280
2012-11-08,1961.560059,1961.560059,1899.170044,1935.430054,1622.718384,72991
2012-11-09,1932.819946,1943.270020,1892.329956,1932.819946,1620.529663,46882
2012-11-12,1932.819946,1957.630005,1926.290039,1932.819946,1620.529663,49469
2012-11-13,1932.819946,1951.099976,1926.290039,1940.660034,1627.103149,47910
2012-11-14,1939.359985,1945.880005,1932.819946,1944.579956,1630.389893,47060
2012-11-15,1932.819946,1951.099976,1915.839966,1951.099976,1635.856323,44038
2012-11-16,1945.880005,1952.410034,1863.930054,1932.819946,1620.529663,29907
2012-11-19,1935.430054,1944.579956,1931.510010,1943.270020,1629.291504,44880
2012-11-20,1935.430054,1968.079956,1927.599976,1968.079956,1650.092773,37289
2012-11-21,1947.189941,1958.939941,1944.520020,1958.939941,1642.429565,36446
2012-11-22,1957.630005,1983.760010,1955.020020,1978.530029,1658.854370,84986
2012-11-23,1966.780029,1975.920044,1957.630005,1965.469971,1647.904419,21452
2012-11-26,1958.939941,1996.770020,1919.770020,1985.060059,1664.329346,280706
2012-11-27,1985.060059,1985.060059,1956.329956,1962.859985,1645.716187,119707
2012-11-28,1935.430054,1954.079956,1922.380005,1927.599976,1616.153198,83571
2012-11-29,1927.599976,1940.369995,1909.310059,1921.069946,1610.678223,49639
2012-11-30,1922.380005,1958.939941,1908.010010,1919.770020,1609.588379,84155
2012-12-03,1919.770020,1964.170044,1918.670044,1930.209961,1618.341675,125341
2012-12-04,1927.599976,1945.880005,1923.680054,1932.819946,1620.529663,148901
2012-12-05,1934.130005,1961.560059,1928.900024,1958.939941,1642.429565,126437
2012-12-06,1960.239990,1987.680054,1928.380005,1972.000000,1653.379517,148151
2012-12-07,1972.000000,1982.439941,1932.819946,1977.219971,1657.756104,181186
2012-12-10,1952.410034,1981.140015,1930.209961,1972.000000,1653.379517,367481
2012-12-11,1972.000000,2011.180054,1964.170044,1986.369995,1665.427612,158000
2012-12-12,1985.060059,2009.880005,1975.920044,1995.510010,1673.091064,215381
2012-12-13,1957.630005,2024.239990,1956.329956,1987.680054,1666.526123,368842
2012-12-14,1970.699951,1986.369995,1943.140015,1945.880005,1631.479858,63968
2012-12-17,1922.380005,1938.829956,1888.420044,1888.420044,1583.303589,58149
2012-12-18,1888.420044,1921.619995,1870.229980,1893.640015,1587.680298,74138
2012-12-19,1883.199951,1896.260010,1850.540039,1880.589966,1576.738647,123539
2012-12-20,1893.640015,1895.790039,1847.930054,1864.910034,1563.592163,66109
2012-12-21,1887.109985,1892.329956,1807.439941,1824.420044,1529.644409,138322
2012-12-24,1849.239990,1849.239990,1797.000000,1807.439941,1515.407593,25520
2012-12-27,1807.439941,1828.439941,1795.699951,1807.439941,1515.407593,91580
2012-12-28,1811.369995,1815.439941,1780.020020,1793.089966,1503.376343,40798
2012-12-31,1776.109985,1825.729980,1714.530029,1793.089966,1503.376343,24741
2013-01-02,1793.089966,1828.339966,1774.140015,1804.829956,1513.219360,92328
2013-01-03,1807.439941,1814.790039,1753.020020,1785.239990,1496.794678,53538
2013-01-04,1786.560059,1807.439941,1738.969971,1751.290039,1468.330200,217017
2013-01-07,1749.989990,1785.239990,1725.819946,1772.189941,1485.853149,109066
2013-01-08,1764.359985,1775.680054,1675.579956,1712.109985,1435.480591,56935
2013-01-09,1730.400024,1735.040039,1677.000000,1705.589966,1430.014160,52740
2013-01-10,1712.109985,1737.729980,1689.910034,1704.280029,1428.915771,48449
2013-01-11,1700.359985,1734.310059,1700.359985,1723.869995,1445.340332,242308
2013-01-14,1747.380005,1747.380005,1710.810059,1729.089966,1449.716919,432306
2013-01-15,1718.640015,1756.520020,1718.640015,1744.770020,1462.863403,461443
2013-01-16,1756.520020,1798.310059,1735.619995,1778.719971,1491.328247,149489
2013-01-17,1773.500000,1823.390015,1773.500000,1802.219971,1511.031006,189449
2013-01-18,1776.109985,1810.069946,1776.109985,1781.329956,1493.516602,100714
2013-01-21,1781.329956,1806.010010,1770.589966,1777.410034,1490.229858,129621
2013-01-22,1776.109985,1803.530029,1712.109985,1752.599976,1469.428345,450374
2013-01-23,1756.520020,1806.010010,1754.939941,1785.239990,1496.794678,659016
2013-01-24,1800.920044,1810.069946,1729.089966,1744.770020,1462.863403,415349
2013-01-25,1786.560059,1786.560059,1729.089966,1731.699951,1451.905273,72322
2013-01-28,1731.699951,1795.699951,1697.739990,1697.739990,1423.432129,183128
2013-01-29,1696.439941,1751.140015,1682.079956,1710.810059,1434.390747,210165
2013-01-30,1708.199951,1765.660034,1697.739990,1726.479980,1447.528687,225656
2013-01-31,1722.569946,1759.780029,1722.569946,1738.229980,1457.380005,386880
2013-02-01,1739.540039,1768.270020,1733.010010,1749.989990,1467.240112,261790
2013-02-04,1730.400024,1805.859985,1730.400024,1749.989990,1467.240112,118024
